name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00065.tif;50.9604;-167.077;33.3817;-384.886;-163.026;-252.12;-384.306;-19.632;-250.972;-304.581;-162.401;-370.923;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00066.tif;51.1024;-167.077;33.1639;-385.959;-163.026;-250.475;-385.373;-19.632;-249.33;-306.161;-162.401;-369.62;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00067.tif;51.2435;-167.077;32.9454;-387.025;-163.026;-248.825;-386.434;-19.632;-247.683;-307.736;-162.401;-368.31;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00068.tif;51.3837;-167.077;32.7264;-388.083;-163.026;-247.171;-387.488;-19.632;-246.031;-309.306;-162.401;-366.993;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00069.tif;51.5229;-167.077;32.5068;-389.135;-163.026;-245.512;-388.534;-19.632;-244.375;-310.869;-162.401;-365.669;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00070.tif;51.6612;-167.077;32.2866;-390.179;-163.026;-243.849;-389.574;-19.632;-242.714;-312.427;-162.401;-364.339;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00071.tif;51.7985;-167.077;32.0658;-391.216;-163.026;-242.181;-390.606;-19.632;-241.049;-313.98;-162.401;-363.002;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00072.tif;51.9349;-167.077;31.8444;-392.247;-163.026;-240.509;-391.632;-19.632;-239.379;-315.526;-162.401;-361.659;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00073.tif;52.0703;-167.077;31.6224;-393.269;-163.026;-238.833;-392.65;-19.632;-237.706;-317.067;-162.401;-360.309;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00074.tif;52.2049;-167.077;31.3998;-394.286;-163.026;-237.152;-393.661;-19.632;-236.027;-318.602;-162.401;-358.952;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00075.tif;52.3384;-167.077;31.1767;-395.294;-163.026;-235.467;-394.665;-19.632;-234.345;-320.131;-162.401;-357.589;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00076.tif;52.471;-167.077;30.953;-396.296;-163.026;-233.777;-395.662;-19.632;-232.658;-321.655;-162.401;-356.219;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00077.tif;52.6027;-167.077;30.7288;-397.29;-163.026;-232.084;-396.651;-19.632;-230.967;-323.172;-162.401;-354.843;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00078.tif;52.7334;-167.077;30.504;-398.277;-163.026;-230.386;-397.633;-19.632;-229.272;-324.684;-162.401;-353.46;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00079.tif;52.8631;-167.077;30.2786;-399.257;-163.026;-228.684;-398.608;-19.632;-227.573;-326.19;-162.401;-352.071;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00080.tif;52.9918;-167.077;30.0527;-400.229;-163.026;-226.977;-399.576;-19.632;-225.869;-327.69;-162.401;-350.675;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00081.tif;53.1196;-167.077;29.8262;-401.194;-163.026;-225.267;-400.537;-19.632;-224.161;-329.184;-162.401;-349.273;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00082.tif;53.2465;-167.077;29.5992;-402.152;-163.026;-223.552;-401.49;-19.632;-222.45;-330.671;-162.401;-347.865;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00083.tif;53.3723;-167.077;29.3716;-403.103;-163.026;-221.834;-402.436;-19.632;-220.734;-332.153;-162.401;-346.451;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00084.tif;53.4972;-167.077;29.1436;-404.046;-163.026;-220.111;-403.374;-19.632;-219.014;-333.629;-162.401;-345.03;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00085.tif;53.6211;-167.077;28.915;-404.982;-163.026;-218.385;-404.305;-19.632;-217.29;-335.099;-162.401;-343.602;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00086.tif;53.744;-167.077;28.6858;-405.91;-163.026;-216.654;-405.229;-19.632;-215.563;-336.562;-162.401;-342.169;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00087.tif;53.866;-167.077;28.4561;-406.831;-163.026;-214.919;-406.146;-19.632;-213.831;-338.02;-162.401;-340.729;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00088.tif;53.987;-167.077;28.226;-407.745;-163.026;-213.181;-407.055;-19.632;-212.096;-339.471;-162.401;-339.283;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00089.tif;54.107;-167.077;27.9953;-408.651;-163.026;-211.438;-407.956;-19.632;-210.356;-340.916;-162.401;-337.831;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00090.tif;54.226;-167.077;27.7641;-409.55;-163.026;-209.692;-408.85;-19.632;-208.613;-342.355;-162.401;-336.373;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00091.tif;54.344;-167.077;27.5323;-410.441;-163.026;-207.942;-409.737;-19.632;-206.866;-343.788;-162.401;-334.909;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00092.tif;54.461;-167.077;27.3001;-411.325;-163.026;-206.188;-410.616;-19.632;-205.115;-345.214;-162.401;-333.438;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00093.tif;54.577;-167.077;27.0674;-412.202;-163.026;-204.431;-411.488;-19.632;-203.36;-346.634;-162.401;-331.961;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00094.tif;54.6921;-167.077;26.8342;-413.071;-163.026;-202.669;-412.352;-19.632;-201.602;-348.048;-162.401;-330.479;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00095.tif;54.8061;-167.077;26.6005;-413.932;-163.026;-200.904;-413.209;-19.632;-199.84;-349.456;-162.401;-328.99;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00096.tif;54.9192;-167.077;26.3663;-414.786;-163.026;-199.136;-414.058;-19.632;-198.075;-350.857;-162.401;-327.496;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00097.tif;55.0312;-167.077;26.1317;-415.632;-163.026;-197.363;-414.9;-19.632;-196.305;-352.251;-162.401;-325.995;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00098.tif;55.1423;-167.077;25.8965;-416.47;-163.026;-195.587;-415.734;-19.632;-194.533;-353.64;-162.401;-324.488;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00099.tif;55.2523;-167.077;25.6609;-417.302;-163.026;-193.808;-416.561;-19.632;-192.756;-355.021;-162.401;-322.976;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00100.tif;55.3613;-167.077;25.4249;-418.125;-163.026;-192.025;-417.38;-19.632;-190.976;-356.397;-162.401;-321.458;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00101.tif;55.4693;-167.077;25.1883;-418.941;-163.026;-190.239;-418.191;-19.632;-189.193;-357.766;-162.401;-319.933;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00102.tif;55.5763;-167.077;24.9513;-419.749;-163.026;-188.449;-418.995;-19.632;-187.406;-359.128;-162.401;-318.403;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00103.tif;55.6824;-167.077;24.7139;-420.55;-163.026;-186.655;-419.791;-19.632;-185.616;-360.484;-162.401;-316.868;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00104.tif;55.7873;-167.077;24.476;-421.343;-163.026;-184.858;-420.58;-19.632;-183.823;-361.833;-162.401;-315.326;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00105.tif;55.8913;-167.077;24.2376;-422.128;-163.026;-183.058;-421.36;-19.632;-182.026;-363.176;-162.401;-313.779;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00106.tif;55.9942;-167.077;23.9988;-422.905;-163.026;-181.255;-422.133;-19.632;-180.226;-364.512;-162.401;-312.226;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00107.tif;56.0962;-167.077;23.7596;-423.675;-163.026;-179.448;-422.899;-19.632;-178.422;-365.841;-162.401;-310.667;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00108.tif;56.1971;-167.077;23.5199;-424.437;-163.026;-177.638;-423.657;-19.632;-176.615;-367.164;-162.401;-309.102;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00109.tif;56.297;-167.077;23.2798;-425.192;-163.026;-175.824;-424.407;-19.632;-174.805;-368.48;-162.401;-307.532;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00110.tif;56.3958;-167.077;23.0393;-425.938;-163.026;-174.008;-425.149;-19.632;-172.992;-369.789;-162.401;-305.957;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00111.tif;56.4936;-167.077;22.7984;-426.677;-163.026;-172.188;-425.883;-19.632;-171.176;-371.092;-162.401;-304.376;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00112.tif;56.5904;-167.077;22.557;-427.408;-163.026;-170.365;-426.61;-19.632;-169.356;-372.388;-162.401;-302.789;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00113.tif;56.6862;-167.077;22.3153;-428.131;-163.026;-168.54;-427.329;-19.632;-167.534;-373.677;-162.401;-301.196;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00114.tif;56.781;-167.077;22.0731;-428.847;-163.026;-166.711;-428.04;-19.632;-165.708;-374.959;-162.401;-299.599;
G:\Tomo\2023-07\jmletang\Wire_17.54um_2mmCu\Proj\img_00115.tif;56.8746;-167.077;21.8306;-429.555;-163.026;-164.879;-428.744;-19.632;-163.88;-376.234;-162.401;-297.996;
