name;;source;;;Imager Center;;;Imager Top;;;Imager Right;;;
;x;y;z;x;y;z;x;y;z;x;y;z
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00061.tif;102.621;-245.618;387.51;-117.108;-238.888;-442.216;-117.584;-23.4964;-440.343;91.0822;-237.948;-497.47;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00062.tif;104.201;-245.618;387.088;-118.911;-238.888;-441.735;-119.379;-23.4964;-439.86;89.0519;-237.948;-497.838;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00063.tif;105.767;-245.618;386.663;-120.698;-238.888;-441.25;-121.158;-23.4964;-439.373;87.0361;-237.948;-498.194;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00064.tif;107.453;-245.618;386.198;-122.622;-238.888;-440.719;-123.074;-23.4964;-438.84;84.862;-237.948;-498.569;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00065.tif;109.047;-245.618;385.751;-124.442;-238.888;-440.209;-124.886;-23.4964;-438.328;82.8016;-237.948;-498.915;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00066.tif;110.635;-245.618;385.299;-126.253;-238.888;-439.692;-126.69;-23.4964;-437.81;80.7464;-237.948;-499.252;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00067.tif;112.236;-245.618;384.835;-128.081;-238.888;-439.163;-128.509;-23.4964;-437.279;78.6695;-237.948;-499.583;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00068.tif;113.872;-245.618;384.354;-129.948;-238.888;-438.615;-130.368;-23.4964;-436.729;76.5437;-237.948;-499.914;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00069.tif;115.452;-245.618;383.883;-131.75;-238.888;-438.077;-132.163;-23.4964;-436.189;74.4874;-237.948;-500.224;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00070.tif;117.062;-245.618;383.395;-133.588;-238.888;-437.52;-133.993;-23.4964;-435.63;72.3869;-237.948;-500.532;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00071.tif;118.679;-245.618;382.897;-135.433;-238.888;-436.952;-135.83;-23.4964;-435.061;70.2745;-237.948;-500.833;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00072.tif;120.257;-245.618;382.405;-137.234;-238.888;-436.39;-137.623;-23.4964;-434.497;68.208;-237.948;-501.119;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00073.tif;121.846;-245.618;381.901;-139.047;-238.888;-435.815;-139.428;-23.4964;-433.921;66.1238;-237.948;-501.398;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00074.tif;123.47;-245.618;381.379;-140.9;-238.888;-435.22;-141.273;-23.4964;-433.324;63.9901;-237.948;-501.675;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00075.tif;125.037;-245.618;380.869;-142.689;-238.888;-434.637;-143.054;-23.4964;-432.739;61.9265;-237.948;-501.934;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00076.tif;126.627;-245.618;380.343;-144.504;-238.888;-434.037;-144.861;-23.4964;-432.138;59.8285;-237.948;-502.188;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00077.tif;128.238;-245.618;379.803;-146.342;-238.888;-433.421;-146.691;-23.4964;-431.52;57.6998;-237.948;-502.437;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00078.tif;129.796;-245.618;379.273;-148.12;-238.888;-432.816;-148.462;-23.4964;-430.914;55.6365;-237.948;-502.67;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00079.tif;131.383;-245.618;378.726;-149.93;-238.888;-432.192;-150.264;-23.4964;-430.289;53.532;-237.948;-502.898;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00080.tif;132.99;-245.618;378.165;-151.765;-238.888;-431.552;-152.09;-23.4964;-429.647;51.3954;-237.948;-503.121;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00081.tif;134.543;-245.618;377.615;-153.537;-238.888;-430.924;-153.855;-23.4964;-429.018;49.3269;-237.948;-503.328;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00082.tif;136.103;-245.618;377.056;-155.317;-238.888;-430.286;-155.627;-23.4964;-428.378;47.2459;-237.948;-503.528;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00083.tif;137.717;-245.618;376.469;-157.159;-238.888;-429.617;-157.46;-23.4964;-427.708;45.089;-237.948;-503.726;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00084.tif;139.262;-245.618;375.901;-158.922;-238.888;-428.968;-159.215;-23.4964;-427.058;43.0201;-237.948;-503.907;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00085.tif;140.834;-245.618;375.314;-160.716;-238.888;-428.299;-161.001;-23.4964;-426.388;40.9106;-237.948;-504.082;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00086.tif;142.426;-245.618;374.713;-162.533;-238.888;-427.612;-162.811;-23.4964;-425.7;38.7695;-237.948;-504.251;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00087.tif;143.949;-245.618;374.131;-164.271;-238.888;-426.948;-164.541;-23.4964;-425.034;36.7183;-237.948;-504.405;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00088.tif;145.53;-245.618;373.518;-166.075;-238.888;-426.249;-166.337;-23.4964;-424.335;34.5848;-237.948;-504.556;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00089.tif;147.066;-245.618;372.916;-167.828;-238.888;-425.562;-168.082;-23.4964;-423.647;32.5082;-237.948;-504.694;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00090.tif;148.642;-245.618;372.291;-169.626;-238.888;-424.849;-169.872;-23.4964;-422.932;30.3735;-237.948;-504.827;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00091.tif;150.197;-245.618;371.666;-171.401;-238.888;-424.136;-171.639;-23.4964;-422.218;28.2623;-237.948;-504.949;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00092.tif;151.723;-245.618;371.046;-173.142;-238.888;-423.428;-173.372;-23.4964;-421.509;26.1876;-237.948;-505.061;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00093.tif;153.281;-245.618;370.405;-174.92;-238.888;-422.696;-175.142;-23.4964;-420.777;24.0648;-237.948;-505.167;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00094.tif;154.846;-245.618;369.754;-176.706;-238.888;-421.953;-176.92;-23.4964;-420.032;21.9281;-237.948;-505.264;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00095.tif;156.355;-245.618;369.118;-178.428;-238.888;-421.228;-178.634;-23.4964;-419.306;19.864;-237.948;-505.349;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00096.tif;157.926;-245.618;368.449;-180.221;-238.888;-420.464;-180.419;-23.4964;-418.542;17.7112;-237.948;-505.429;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00097.tif;159.465;-245.618;367.785;-181.977;-238.888;-419.707;-182.167;-23.4964;-417.784;15.5983;-237.948;-505.499;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00098.tif;160.98;-245.618;367.125;-183.706;-238.888;-418.953;-183.887;-23.4964;-417.029;13.5141;-237.948;-505.559;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00099.tif;162.516;-245.618;366.447;-185.459;-238.888;-418.18;-185.633;-23.4964;-416.255;11.3961;-237.948;-505.611;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00100.tif;164.065;-245.618;365.756;-187.226;-238.888;-417.391;-187.392;-23.4964;-415.466;9.25736;-237.948;-505.655;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00101.tif;165.612;-245.618;365.058;-188.992;-238.888;-416.595;-189.15;-23.4964;-414.669;7.11596;-237.948;-505.689;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00102.tif;167.112;-245.618;364.374;-190.703;-238.888;-415.814;-190.853;-23.4964;-413.888;5.03674;-237.948;-505.714;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00103.tif;168.633;-245.618;363.673;-192.439;-238.888;-415.014;-192.58;-23.4964;-413.087;2.92372;-237.948;-505.731;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00104.tif;170.175;-245.618;362.954;-194.199;-238.888;-414.193;-194.332;-23.4964;-412.265;0.776875;-237.948;-505.739;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00105.tif;171.634;-245.618;362.266;-195.865;-238.888;-413.408;-195.99;-23.4964;-411.48;-1.25855;-237.948;-505.738;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00106.tif;173.173;-245.618;361.533;-197.62;-238.888;-412.572;-197.738;-23.4964;-410.643;-3.40866;-237.948;-505.728;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00107.tif;174.66;-245.618;360.817;-199.317;-238.888;-411.755;-199.426;-23.4964;-409.826;-5.4901;-237.948;-505.71;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00108.tif;176.192;-245.618;360.072;-201.065;-238.888;-410.904;-201.166;-23.4964;-408.974;-7.63974;-237.948;-505.682;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00109.tif;177.719;-245.618;359.32;-202.808;-238.888;-410.047;-202.901;-23.4964;-408.117;-9.78624;-237.948;-505.645;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00110.tif;179.202;-245.618;358.583;-204.5;-238.888;-409.205;-204.585;-23.4964;-407.275;-11.8754;-237.948;-505.6;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00111.tif;180.66;-245.618;357.85;-206.165;-238.888;-408.369;-206.242;-23.4964;-406.438;-13.9341;-237.948;-505.548;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00112.tif;182.183;-245.618;357.078;-207.903;-238.888;-407.487;-207.971;-23.4964;-405.556;-16.0875;-237.948;-505.484;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00113.tif;183.648;-245.618;356.326;-209.574;-238.888;-406.63;-209.635;-23.4964;-404.699;-18.1631;-237.948;-505.413;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00114.tif;185.161;-245.618;355.542;-211.301;-238.888;-405.736;-211.353;-23.4964;-403.804;-20.3114;-237.948;-505.332;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00115.tif;186.668;-245.618;354.753;-213.021;-238.888;-404.835;-213.066;-23.4964;-402.903;-22.4563;-237.948;-505.241;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00116.tif;188.11;-245.618;353.991;-214.666;-238.888;-403.965;-214.702;-23.4964;-402.033;-24.5108;-237.948;-505.145;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00117.tif;189.599;-245.618;353.196;-216.365;-238.888;-403.058;-216.393;-23.4964;-401.126;-26.6379;-237.948;-505.038;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00118.tif;191.075;-245.618;352.399;-218.05;-238.888;-402.149;-218.07;-23.4965;-400.216;-28.7514;-237.948;-504.922;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00119.tif;192.522;-245.618;351.611;-219.701;-238.888;-401.249;-219.713;-23.4964;-399.317;-30.8263;-237.948;-504.799;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00120.tif;194.014;-245.618;350.79;-221.403;-238.888;-400.312;-221.408;-23.4964;-398.38;-32.9704;-237.948;-504.664;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00121.tif;195.501;-245.618;349.963;-223.101;-238.888;-399.369;-223.097;-23.4964;-397.436;-35.1122;-237.948;-504.519;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00122.tif;196.923;-245.618;349.165;-224.723;-238.888;-398.458;-224.711;-23.4964;-396.526;-37.1635;-237.948;-504.372;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00123.tif;198.391;-245.618;348.333;-226.398;-238.888;-397.509;-226.378;-23.4964;-395.576;-39.2866;-237.948;-504.211;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00124.tif;199.848;-245.618;347.499;-228.061;-238.888;-396.557;-228.033;-23.4964;-394.625;-41.3977;-237.948;-504.042;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00125.tif;201.275;-245.618;346.675;-229.689;-238.888;-395.616;-229.653;-23.4964;-393.684;-43.4692;-237.948;-503.868;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00126.tif;202.768;-245.618;345.804;-231.394;-238.888;-394.622;-231.349;-23.4964;-392.69;-45.6425;-237.948;-503.676;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00127.tif;204.191;-245.618;344.966;-233.017;-238.888;-393.665;-232.965;-23.4964;-391.734;-47.7165;-237.948;-503.484;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00128.tif;205.612;-245.618;344.12;-234.639;-238.888;-392.701;-234.579;-23.4964;-390.769;-49.7932;-237.948;-503.282;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00129.tif;207.059;-245.618;343.251;-236.29;-238.888;-391.709;-236.222;-23.4964;-389.778;-51.9118;-237.948;-503.068;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00130.tif;208.494;-245.618;342.382;-237.928;-238.888;-390.717;-237.852;-23.4964;-388.786;-54.0172;-237.948;-502.847;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00131.tif;209.924;-245.618;341.507;-239.559;-238.888;-389.719;-239.475;-23.4964;-387.788;-56.1188;-237.948;-502.616;
G:\Tomo\2023-07\jmletang\theiere_acier10mm_70um\Proj\img_00132.tif;211.371;-245.618;340.613;-241.211;-238.888;-388.698;-241.119;-23.4964;-386.768;-58.2518;-237.948;-502.374;
